Timestamp,Study_author,Publication_year,Study_title,DOI,Exclusion_reason,Comment for Exclusion_reason,Study_type,"Comment for study_type
Record comments for the question above if needed (i.e. study type does not lie within the specified categories). Start with ""NEW"" when noting new study type.",Data_collected_years,Data_collected_locations,TARA_focus ,TARA_region,"TARA_region_specific
List the locations where the study was completed in NSW. If multiple locations seperate by with ; ","Threat_source_category_1
Select more than one of applicable.",Threat_source ,Comment for threat_source,"Specific_threat_source 
If detailed specify the actual threat activity. If multiple threat activities are listed seperate terms in a list with ;",Receptor_category-threat_receptor ,Comment for receptor_category-threat_receptor,"Specific_receptor_category-threat_receptor
If detailed list the specific receptor. If there is more than one receptor measured list these as terms separated by ;","Mechanism for receptor threat relationship
If detailed list the mechanism through which the threat has an effect on the receptor (e.g. disease). These should align with the mechanisms outlined in the EBR.","Outcome_trend
Specify the overall outcome of the threat receptor interaction specified. If there is more than one threat receptor combination, or more than one outcome measured please return the main effect here and specify other effects in the free text category below.","Comment_outcome_trend
Comment for outcome trend. If other outcomes need to be specified list outcome (Positive/Negative/Neutral/Other) and seperate by ;","Outcome_measured
If stated specify the outcome measured (from which the trend is specified above). If multiple outcomes are measured please list these as terms (3 words or less) separated by ;","Condition_comparator
If condition of the receptor (i.e. marine asset) is discussed in the article, specify what the condition is compared too. For example this could be a year, or a treatment condition. ","Condition_trend
If the condition of the asset is discussed specify the outcome of the asset compared to the comparator. ","Comment_condition_trend
Comment for condition trend. If other conditions need to be specified list outcome (Positive/Negative/Neutral/Other) and seperate by ;","Condition_measured
If stated specify the parameter through which condition is measured (from which the trend is specified above). If multiple condition are measured please list these as terms (3 words or less) separated by ;",Comment for extraction
8/18/2022 13:40:11,Swan,2021,"Elevated particulate methanesulfonate, oxalate and iron over Sydney Harbour in the austral summer of 2019-20 during unprecedented bushfire activity",10.1016/j.atmosenv.2021.118739,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,1 - Coastal and marine,2 - Central,Sydney,Climate change,0 - Other/Unclear/NEW,NEW_Bush_fire,Aerosols from bushfire,0 - Other/Unclear/NEW,,Ocean general,"Altered biogeochemical cycling of sulfur and carbon in oceans, supply of particulate Iron",Other/Unclear/Not specified,,,,,,,
8/18/2022 13:46:10,Stelling-Wood,2016,Responses of ghost crabs to habitat modification of urban sandy beaches,10.1016/j.marenvres.2016.02.009,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,"1 - Coastal and marine, 3 - Social",2 - Central,Sydney,Land based activities,30 - Beach nourishment and grooming,,Beach cleaning,2 - Marine habitats and assemblages - Beaches,,Ghost crabs,Removal of wrack,Neutral (no effect),No impact of mechanical cleaning of beaches on ghost crab burrow density.,,,,,,"The frequency of mechanical beach cleaning was the most important predictor of crab abundance, with low burrow densities at the highest cleaning frequency and the highest densities at beaches cleaned at the intermediate frequency (3 times per week)."
8/18/2022 13:55:30,Steinberg,2020,"Keep your friends close and your anemones closer – ecology of the endemic wideband anemonefish, Amphiprion latezonatus",10.1007/s10641-020-01035-x,NA - study included for data extraction,,Primary-field,,Other/Unclear/NotApplicable,Australia,1 - Coastal and marine,,Lord Howe Island,,,,,5 - Marine habitats and assemblages - Fish assemblages,,"Anenome Fish, Amphirion latezonatus",,,,,"Other sites with species present (Norfolk Island, Solitary Island - other study, Sunshine Coast)",Other/Unclear/Not specified,Low,Abundance,Significant differences in population characteristics demonstrate a need for location-specific conservation strategies.
8/18/2022 14:04:09,Steinberg,2016,"Genetic connectivity and self-replenishment of inshore and offshore populations of the endemic anemonefish, Amphiprion latezonatus",10.1007/s00338-016-1420-5,NA - study included for data extraction,,Primary-field,,Pre 2015,Australia,1 - Coastal and marine,1 - North,North Solitary Island; Lord Howe Island,Climate change,43 - Climate and sea temperature rise 50 years,,Warming,5 - Marine habitats and assemblages - Fish assemblages,,"Anemone Fish, Amphiprion latezonatus",Warming impacts on development and habitat likely.,Other/Unclear/Not specified,,,,Other/Unclear/Not specified,Lack of gene flow between locations. Protection of all populations needed.,Genetic diversity,Suggest prolonged recovery times following severe population decline (or extirpation) and indicate a need to protect this species at all locations
8/18/2022 14:11:33,Stamation,2020,Population estimate and rate of increase of southern right whales Eubalaena australis in southeastern Australia,10.3354/esr01031,NA - study included for data extraction,,,,Pre and Post 2015,Australia,1 - Coastal and marine,"2 - Central, 3 - South",,,,,,11 - Threatened and protected species - Species protected under BCA,,"Southern Right Whale, Eubalaena australis",,,,,Year 1996,Positive,Increase in reproductive females 4.7 % per year,Number of individuals sighted,The total number of southern right whales (i.e. all adults and calves) using the southeastern Australian coastline has increased by 7% since 1985.
8/18/2022 14:14:23,Spaet,2020,Environmental conditions are poor predictors of immature white shark Carcharodon carcharias occurrences on coastal beaches of eastern Australia,10.3354/meps13488,The study does not consider a threat to or a state of a marine asset in NSW,,,,,,,,,,,,,,,,,,,,,,,,
8/19/2022 14:32:05,Smoothey,2016,"Patterns of Occurrence of Sharks in Sydney Harbour, a Large Urbanised Estuary",10.1371/journal.pone.0146911,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,"1 - Coastal and marine, 2 - Estuarine",2 - Central,Sydney,,,,,5 - Marine habitats and assemblages - Fish assemblages; 11 - Threatened and protected species - Species protected under BCA; 14 - Estuarine habitats and assemblages - Fish assemblages,,Various shark species,,,,,,Other/Unclear/Not specified,,Abundance caught on long lines at two sites over two years (2010-2012),H.portusjacksoni was the most dominant species caught in the entrance to Sydney Harbour. Carcharhinus leucas more numerous in summer and autumn.
8/19/2022 14:40:25,Smith,2022,Citizen Scientists Record Significant Range Extensions for Tropical Sea Slug Species in Subtropical Eastern Australia,10.3390/d14040244,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,1 - Coastal and marine,1 - North,Solitary Islands,Climate change,38 - Climate and sea temperature rise 20 years,,,8 - Marine habitats and assemblages - Shallow reefs; 6 - Marine habitats and assemblages - Planktonic assemblages,,Sea slugs (various),Range expansion,Other/Unclear/Not specified,,,,,,,Seven species were found further south of their previously known distribution with Hypselodoris bertschi being recorded for the first time in Australia. These observations suggested the recent transport of larvae via the East Australian Current with recruitment to coastal sites possibly promoted by a protracted period of strong onshore winds associated with the 2021/22 La Niña in the western Pacific.
8/19/2022 14:52:07,Simpson,2021,Assessing the effects of swimming net material on populations of an endangered seahorse,10.1071/MF20022,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,1 - Coastal and marine,2 - Central,Sydney,Resource use,23 - Shark meshing of swimming beaches,,"Copper swimming net vs copper free ""sea horse friendly""",8 - Marine habitats and assemblages - Shallow reefs; 11 - Threatened and protected species - Species protected under BCA,,"White's seahorse, Hippocampus whitei",Toxicity,Neutral (no effect),Authors highlight that results should be interpreted with caution,Density; population abundance; growth epibiota; recruitment epifaunal prey,,,,,"Material type had no effect on the density or population abundance of seahorses on pre-existing or installed panels of swimming net, with no difference in fouling epibiotic growth or mobile epifauna."
8/19/2022 15:51:01,Paula da Silva,2021,Headland bypassing timescales: Processes and driving forces,10.1016/j.scitotenv.2021.148591,The study does not consider a threat to or a state of a marine asset in NSW,,,,,,,,Tweed Heads,,,,,,,,,,,,,,,,
8/19/2022 15:52:39,Searle,2016,"Breeding success of a subtropical Little Tern, Sternula albifrons sinensis, colony",10.1071/MU15062,The study data not collected at least partially in NSW,,,,,,,,,,,,,,,,,,,,,,,,
8/19/2022 15:54:15,Schneider,2020,Assessing environmental contamination from metal emission and relevant regulations in major areas of coal mining and electricity generation in Australia,10.1016/j.scitotenv.2020.137398,The study does not consider a threat to or a state of a marine asset in NSW,,,,,,,,,,,,,,,,,,,,,,,,
8/19/2022 16:03:28,Schaefer,2019,"Size, depth and position affect the diversity and structure of rock pool communities in an urban estuary",10.1071/MF18074_CO,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,NSW,"1 - Coastal and marine, 2 - Estuarine",2 - Central,Sydney,Land based activities,"26 - Oil, gas, minerals, sand, aggregate, mining coal, 28 - Urban stormwater discharge; 64 - Water pollution on environmental values - septic runoff, point source pollution and sewage overflows",,,7 - Marine habitats and assemblages - Rocky shores; 17 - Estuarine habitats and assemblages - Rocky shores,,Rock pool biota,,Negative,,Diversity,,,,,Results suggest that the biodiversity of intertidal rock pools varies depending on their position in Sydney Harbour and the available species pool. 
8/19/2022 16:17:13,Saintilan,2016,Intermittent Estuaries: Linking Hydro-geomorphic Context to Climate Change Resilience,10.2112/SI75-027.1,NA - study included for data extraction,,Primary-field,,Post 2015,Global including Australia,2 - Estuarine,"2 - Central, 3 - South",Various (27 estuaries),Climate change,41 - Sea level rise 20 years; 46 - Sea level rise 50 years,,,13 - Estuarine habitats and assemblages - Beach and mudflats; 18 - Estuarine habitats and assemblages - Saltmarsh,,,Inundation,Other/Unclear/Not specified,Suggest promotion of mangrove invasion. Unclear conclusions.,,,,,,
8/19/2022 16:18:52,Rubio,2020,Short-Term Response of Cytosolic NO-3 to Inorganic Carbon Increase in Posidonia oceanica Leaf Cells,10.3389/fpls.2020.00955,No full-text available,,,,,,,,,,,,,,,,,,,,,,,,
8/19/2022 16:31:05,Rowe,2022,"Physiological responses of the upside-down jellyfish, Cassiopea (Cnidaria: Scyphozoa: Cassiopeidae) to temperature and implications for their range expansion along the east coast of Australia",10.1016/j.jembe.2022.151765,NA - study included for data extraction,,Primary-lab,,Post 2015,NSW,2 - Estuarine,2 - Central,Lake Macquarie,Climate change,38 - Climate and sea temperature rise 20 years,,Elevated temperatures associated with climate change,16 - Estuarine habitats and assemblages - Planktonic assemblages; 20 - Estuarine habitats and assemblages - Shallow soft sediments,,"Up-side down jellyfish, Cassiopea",,Positive,Suggest that we may say increased populations as winter die-offs are reduced under a changing climate.,Physiological response,,,,,"Highlights the capacity for elevated temperatures in the future to slow the rate of bell degradation,contributing to an increased probability of overwinter survival, thus increasing the size and duration of Cassiopea blooms in temperate waterways such as Lake Macquarie."
8/19/2022 16:37:25,Roth-Schulze,2018,"The effects of warming and ocean acidification on growth, photosynthesis, and bacterial communities for the marine invasive macroalga Caulerpa taxifolia",10.1002/lno.10739,The study presents a lab-based experiment with no link to field based measurments,,,,,,,,,,,,,,,,,,,,,,,,
8/19/2022 16:45:56,Raoult,2018,Rapid biomass and size-frequency estimates of edible jellyfish populations using drones,10.1016/j.fishres.2018.06.010,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,2 - Estuarine,1 - North,Smiths Lake,,,,,14 - Estuarine habitats and assemblages - Fish assemblages,,"Jelly Blubbers, Catostylus mosaicus",,,,"Number, Size",,Other/Unclear/Not specified,,,"Estimated biomass within Smiths Lake, New South Wales, Australia was roughly 350 kg per hectare, and size frequency distributions were skewed towards larger specimens compared to previous studies in other locations."
8/19/2022 16:59:37,Precoda,2018,How does a widespread reef coral maintain a population in an isolated environment?,10.3354/meps12537,NA - study included for data extraction,,"Primary-field, Modelling/theoretical",,Post 2015,NSW,1 - Coastal and marine,2 - Central,Sydney,,,,,8 - Marine habitats and assemblages - Shallow reefs,,"Hard coral, Plesiastrea versipora",,,,,,Positive,,Survivorship,"Show that this population is thriving, with the potential to rapidly increase in benthic cover, due to high adult survivorship and at least sporadic high recruitment. Population’s persistence is sensitive to recruitment and growth rates"
8/19/2022 17:18:29,Poulos,2016,Distribution and spatial modelling of a soft coral habitat in the Port Stephens–Great Lakes Marine Park: implications for management,10.1071/MF14059,NA - study included for data extraction,,"Primary-field, Modelling/theoretical",,Pre 2015,NSW,2 - Estuarine,1 - North,Port Stephens,,,,,10 - Threatened and protected species - Species and communities protected under FMA; 20 - Estuarine habitats and assemblages - Shallow soft sediments,,"Soft coral, Dendronephthya australis",,,,,,Other/Unclear/Not specified,,Observations,No colonies found within sanctuary zones. Suitable habitat is limited.
8/19/2022 17:33:44,Pirotta,2016,"Migrating humpback whales show no detectable response to whale alarms off Sydney, Australia",10.3354/esr00712,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,1 - Coastal and marine,2 - Central,Sydney,Resource use,11 - Boat-based line and trap fishing,,Fishing gear,11 - Threatened and protected species - Species protected under BCA,,"Humpback Whale, Megaptera novaeangliae",Entanglement,Negative,,Response to alarm,,,,,No response to warning alarm
8/19/2022 17:37:39,Pirotta,2018,"A citizen science approach to long-term monitoring of humpback whales (Megaptera novaeangliae) off Sydney, Australia",10.1111/mms.12651,NA - study included for data extraction,,Primary-field,,Pre and Post 2015,NSW,1 - Coastal and marine,2 - Central,Sydney,,,,,11 - Threatened and protected species - Species protected under BCA,,"Humpback Whale, Megaptera novaeangliae",,,,,Years,Positive,,Number of individuals counted,Population exponentially increasing.
8/19/2022 18:05:34,Pettersen,2021,Impact of marine protected areas on temporal stability of fish species diversity,10.1111/cobi.13815,NA - study included for data extraction,,Primary-field,,Post 2015,NSW,1 - Coastal and marine,3 - South,Batemans Marine Park,,,,,5 - Marine habitats and assemblages - Fish assemblages,,Fish (various),,,,,Marine Protected Areas (MPAs),Positive,,Diversity (various measures),Retention of harvested fish species greater in MPAs. Partial protection offered little to no improvement in stability of fish species turnover.
8/19/2022 18:17:29,Perkins,2015,"Altered niche of an ecologically significant urchin species, Centrostephanus rodgersii, in its extended range revealed using an Autonomous Underwater Vehicle",10.1016/j.ecss.2015.01.014,NA - study included for data extraction,,Primary-field,,Pre 2015,Australia,"1 - Coastal and marine, 5 - Economic","2 - Central, 3 - South",Broughton Island; Flingal; Long Bay; Batemans Bay,Climate change,38 - Climate and sea temperature rise 20 years,,Strengthening of the southward-flowing EAC,8 - Marine habitats and assemblages - Shallow reefs,,"Sea urchin, Centrostephanus rodgersii",Range expansion,Other/Unclear/Not specified,,Depth of barrens,Tasmania,,,,Depths of barrens in NSW limited to 27 m
8/19/2022 18:27:49,Payne,2017,Combining abundance and performance data reveals how temperature regulates coastal occurrences and activity of a roaming apex predator,10.1111/gcb.14088,NA - study included for data extraction,,"Modelling/theoretical, Primary-field & lab",,Pre and Post 2015,Australia,"1 - Coastal and marine, 3 - Social","1 - North, 2 - Central, 3 - South",,Climate change,38 - Climate and sea temperature rise 20 years,,Warming,5 - Marine habitats and assemblages - Fish assemblages; 10 - Threatened and protected species - Species and communities protected under FMA,,"Tiger sharks, Galeocerdo cuvier",,Positive,Increased chance of catch in Sydney with 1-2 C warming. ,Distribution and thermal performance,,,,,"Tiger sharks are mostly caught at Australia’s popular New South Wales beaches (i.e. near Sydney) in the warmest months, but data suggest similar abundances will occur in winter and summer if annual sea surface temperatures increase by a further 1–2°C."
8/22/2022 9:20:42,Parkinson,2016,Rapid growth and short life spans characterize pipefish populations in vulnerable seagrass beds,10.1111/jfb.12950,The study does not consider a threat to or a state of a marine asset in NSW,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2022 9:26:42,Parsons,2016,Effects of habitat on fish abundance and species composition on temperate rocky reefs,10.3354/meps11927,The study does not consider a threat to or a state of a marine asset in NSW,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2022 9:38:48,Ochwada-Doyle,2021,Temporal and regional variation in catch across an extensive coastal recreational fishery: Exploring the utility of survey methods to guide and assess spatio-temporal management initiatives,10.1371/journal. pone.0254388,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,"2 - Estuarine, 3 - Social, 5 - Economic","1 - North, 2 - Central, 3 - South",,Resource use,11 - Boat-based line and trap fishing; 12 - Spearfishing,,Recreational fishing (various),14 - Estuarine habitats and assemblages - Fish assemblages,,"Snapper, Pagrus auratus; Dusky flathead, Platycephalus fuscus; Bream, Acanthopagrus spp.",Mortality (kept fish),Other/Unclear/Not specified,,Harvest,,,,,Greatest harvest for snapper is Mid-South Coast and for dusky flat head is Sydney. For bream that greatest numbers were in Sydney during summer and winter.
8/22/2022 9:43:26,Oakley,2022,Thylakoid fatty acid composition and response to short-term cold and heat stress in high-latitude Symbiodiniaceae,10.1007/s00338-022-02221-2,The study does not consider a threat to or a state of a marine asset in NSW,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2022 9:52:01,O'Neill,2015,Changes in the water quality characteristics during a macroalgal bloom in a coastal lagoon,10.1016/j.ocecoaman.2015.04.020,NA - study included for data extraction,,Primary-field,,Pre 2015,NSW,"2 - Estuarine, 5 - Economic",2 - Central,Avoca Lagoon,Land based activities,0 - Other/Unclear/NEW,"Unknown drivers, thought to be related to nutrient input and rain conditions",Macroalgal blooms,14 - Estuarine habitats and assemblages - Fish assemblages; 19 - Estuarine habitats and assemblages - Seagrass; 20 - Estuarine habitats and assemblages - Shallow soft sediments; 27 - Enjoyment - Enjoying the biodiversity and beauty of the marine estate,,,"Water quality change (e.g. hypoxia, turbidity, shading, phosphorus)",Negative,,,,,,,Suggested that during high rainfall low salinity may prevent blooms. 
8/22/2022 10:02:04,Connor,2021,Response of estuarine fishes to elevated temperatures within temperate Australia: Implications of climate change on fish growth and foraging performance,10.1016/j.jembe.2021.151626,NA - study included for data extraction,,Primary-lab,,Post 2015,NSW,"1 - Coastal and marine, 2 - Estuarine, 5 - Economic",2 - Central,,Climate change,43 - Climate and sea temperature rise 50 years,,Warming of estuaries,5 - Marine habitats and assemblages - Fish assemblages; 14 - Estuarine habitats and assemblages - Fish assemblages,,Fish (various),,Other/Unclear/Not specified,Species showed varying reactions,Behaviour and growth,Control (unheated treatments),,,,"Species will be significantly, and differently affected by water temperature rise that will culminate in changes to local fish assemblages."
8/22/2022 10:15:57,Notarbartolo di Sciara,2019,"Taxonomic status, biological notes, and conservation of the longhorned pygmy devil ray Mobula eregoodoo (Cantor, 1849)",10.1002/aqc.3230,NA - study included for data extraction,,Primary-field,,Pre 2015,Global including Australia,1 - Coastal and marine,"1 - North, 2 - Central, 3 - South",,,3 - Ocean trap and line; 23 - Shark meshing of swimming beaches,,Bather-protection gillnets,5 - Marine habitats and assemblages - Fish assemblages; 10 - Threatened and protected species - Species and communities protected under FMA,,"Longhorned pygmy devil ray, Mobula eregoodoo",By catch,Negative,,,,,,,Long horned and short horned devil rays are distinct species. At threat from bycatch and swim nets.
