Timestamp,Report_author,"Report_organisation(s)
Long form organisation(s) that prepared the document. Seperate multiple organisations with ;",Publication_year,Report_title,Exclusion_reason,Comment for Exclusion_reason,"Study_source
Where was the report found?",Study_type,"Comment for study_type
Record comments for the question above if needed (i.e. study type does not lie within the specified categories). Start with ""NEW"" when noting new study type.",Data_collected_years,Data_collected_locations,TARA_focus ,TARA_region,"TARA_region_specific
List the locations where the study was completed in NSW. If multiple locations seperate by with ; ","Threat_source_category_1
Select more than one of applicable. See background environmental report for threats that lie within each of these categories (see page 10)",Threat_source ,Comment for threat_source,"Specific_threat_source 
If detailed specify the actual threat activity. If multiple threat activities are listed seperate terms in a list with ;",Receptor_category-threat_receptor ,Comment for receptor_category-threat_receptor,"Specific_receptor_category-threat_receptor
If detailed list the specific receptor. If there is more than one receptor measured list these as terms separated by ;","Mechanism for receptor threat relationship
If detailed list the mechanism through which the threat has an effect on the receptor (e.g. disease). These should align with the mechanisms outlined in the environmental background report (see page 11)","Outcome_trend
Specify the overall outcome of the threat receptor interaction specified. If there is more than one threat receptor combination, or more than one outcome measured return the main effect here and specify other effects in the free text category below.","Comment_outcome_trend
Comment for outcome trend. If other outcomes need to be specified list outcome (Positive/Negative/Neutral/Other) and seperate by ;","Outcome_measured
If stated specify the outcome measured (from which the trend is specified above). If multiple outcomes are measured please list these as terms (3 words or less) separated by ;","Condition_comparator
If condition of the receptor (i.e. marine asset) is discussed in the article, specify what the condition is compared too. For example this could be a year, or a treatment condition. ","Condition_trend
If the condition of the asset is discussed specify the outcome of the asset compared to the comparator. ","Comment_condition_trend
Comment for condition trend. If other conditions need to be specified list outcome (Positive/Negative/Neutral/Other) and seperate by ;","Condition_measured
If stated (and different to the measured parameter for threat-receptor relationships) specify the parameter through which condition is measured (from which the trend is specified above). If multiple condition are measured please list these as terms (3 words or less) separated by ;",Comment for extraction
8/29/2022 9:39:40,Swanson,Office of Environment and Heritage,2017,"Lower Hunter River Health Monitoring Program
Water Quality Monitoring Program 
2014–15 report",NA - report included for data extraction,,NSW DPI database,"Primary-data (field), Monitoring report",Report with data,Pre and Post 2015,NSW,2 - Estuarine,2 - Central,"Hunter River/Estuary, Newcastle",Land based activities,32 - Agricultural diffuse source runoff; 33 - Industrial discharges,,Industrial run-off/contaminants; Agricultural run-off,12 - Clean waters - Estuarine waters,,Water quality,"Water pollution (Toxic contaminants, Nutrients and organic matter)",Negative,,Water quality,The condition is compared to established water quality parameters,Negative,"Negative, Poor water quality ",,This report details water quality of an estuarine system with agricultural/industrial run off/contamination. The outcome was negative - with these sources resulting in poor water quality.
8/29/2022 10:02:15,Swanson,Office of Environment and Heritage,2017,"Lower Hunter River Health Monitoring Program
Legacies of a century of industrial pollution and its impact on the current condition of 
the lower Hunter River estuary",NA - report included for data extraction,,NSW DPI database,Report,,Pre and Post 2015,NSW,2 - Estuarine,2 - Central,"Hunter River/Estuary, Newcastle",Land based activities,"32 - Agricultural diffuse source runoff; 33 - Industrial discharges; 26 - Oil, gas, minerals, sand, aggregate, mining coal; 73 - Sediment contamination; 28 - Urban stormwater discharge",,Industry and mining; ports; stormwater discharge,12 - Clean waters - Estuarine waters,Water quality predominant with reference to potential impacts on habitats/assemblages,Water quality; estuary ecosystem health,Water pollution; Sediment contamination,Negative,,"Ecosystem health measurements (water quality, contaminants)",Years; introduction of regulations (i.e run off contaminants),Positive,There is a positive trend for industry contaminants over time with the introduction of regulations,,"This report collates and details threats associated with the Hunter River/Estuarine environment with data comparisons over time. Overall the impacts of these threats are still negative, resulting in environmental degradation. However comparisons over time highlight improvements, particularly in relation to industry source runoff/contaminant's with the introduction of regulations."
8/29/2022 10:07:30,Office of Environment and Heritage,Office of Environment and Heritage,2017,"Health of the Hunter
Hunter River estuary report card 2016",The study is a secondary synthesis of literature,"The study is a secondary synthesis of multiple reports included within the data extraction, and offers no new data/insights.",,,,,,,,,,,,,,,,,,,,,,,,
8/29/2022 10:11:54,Baird Australia Pty Ltd,Baird Australia Pty Ltd,2017,"NSW Coastal Wave Model
State Wide Nearshore Wave Transformation Tool",The study is not relevant to a threat to or a state of a marine asset in NSW,"Not relevant to the scope. The document identifys potential threats (erosion/inundation) but the document is not focused on establishing data in relation to these, rather the development of a tool (Nearshore Wave Transformation Tool) to conduct future assessments with.",,,,,,,,,,,,,,,,,,,,,,,,
8/29/2022 10:28:31,Scanes,"Department of Planning, Industry and Environment",2020,"Towards safer swimming –Terrigal region
Understanding turbidity and discolouration in Terrigal Bay",The study is not relevant to a threat to or a state of a marine asset in NSW,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2022 18:31,Chick,NSW Department of Primary Industries ,2020,"Stock assessment report 2020 – Sea Urchin and Turban Shell Fishery
Red Sea Urchin (Heliocidaris tuberculata) ",NA - report included for data extraction,,DPI provided literature,Stock Assessment Report,Stock assessment report on Urchin and turban shell fisheries,Pre and Post 2015,NSW,1 - Coastal and marine,"1 - North, 2 - Central, 3 - South",NSW waters,Resource use,"63 - Excessive or illegal extraction; 13 - Hand gathering; 14 - Line fishing, spearfishing, hand gathering, traditional fishing methods, related cultural traditions",Commercial as well as recreational fishing/collection,Commercial and recreational fishing of sea urchin and turban shells,8 - Marine habitats and assemblages - Shallow reefs,Marine habitats and assemblages - invertebrates,Sea urchin and turban shells,population impacts ,Neutral (no effect),"The publication details fishing of populations to be sustainable, however states this classification to be complex, with some populations exhibiting negative outcomes in relation to fishing (i.e population decline).",Stock assessment; catch,The condition is compared over time (years),Neutral,Data comparison over years is variable,,"This report details sea urchin and turban shell stock in NSW identifying impacts of fishing on populations. Overall the report identifies fishing impacts as sustainable, however within the report some are identified as unsustainable."
9/1/2022 18:36,Cramp,University of Queensland,2021,Impacts of post-fire ash and runoff sedimenton the physiological tolerances of Australian freshwater aquatic fauna,The study is not relevant to a threat to or a state of a marine asset in NSW,Not relevant to the scope of TARA. Not conducted within NSW.,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2022 18:41,Cresswell, Department of Primary  Industries,2020,Longspined Sea Urchin (2020),The study is a secondary synthesis of literature,The study is a secondary synthesis of a previously included report that does not highlight further information that is relevant to the TARA/NSW.,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2022 19:00,Legislative Assembly,LEGISLATIVE ASSEMBLY OF NEW SOUTH WALES,2016,MANAGEMENT OF SHARKS IN NEW SOUTH WALES WATERS,The study is not relevant to a threat to or a state of a marine asset in NSW,The section of the report potentially relevant to TARA consists of secondary synthesis (dot point on literature) and policy/government conclusions. The section does not offer information relevant to the defined scope of TARA.,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2022 19:28,Santori,OceanWatch Australia,2021,Fish Habitat Protection Protocol Against Bushfires,The study is a secondary synthesis of literature,"This report, despite identifying relevant threats/stressors, is a secondary synthesis of the literature. The report then uses this information to present mitigation and recovery strategies. ",,,,,,,,,,,,,,,,,,,,,,,,
9/1/2022 19:37,Murphy,Department of Primary Industries,2022,"Survey of recreational fishing in NSW, 2019/20 – Key Results",The study is not relevant to a threat to or a state of a marine asset in NSW,"This report details results from a survey of NSW residents regarding recreational fishing in NSW. The report does not detail the state of, or threats to a marine asset, and has therefore been excluded.",,,,,,,,,,,,,,,,,,,,,,,,
9/1/2022 19:43,Pendoley,"Department of the Environment and Energy; Department of Biodiversity, Conservation and Attractions",2020,"National Light Pollution Guidelines for Wildlife
Including marine turtles, seabirds and migratory shorebirds",The study is not relevant to a threat to or a state of a marine asset in NSW,"This report is not relevant to NSW. The report details the threat of light pollution on marine organisms, however takes on more of a secondary synthesis structure.",,,,,,,,,,,,,,,,,,,,,,,,
9/1/2022 20:10,NSW DPI Fisheries,NSW Department of Primary Industries,2017,NSW NORTH COAST SHARKMESHING TRIAL FINAL REPORT,NA - report included for data extraction,,DPI provided literature,Primary-data (field),Report on shark mesh trial,Post 2015,NSW,1 - Coastal and marine,1 - North,North Coast ,Resource use,23 - Shark meshing of swimming beaches,,Shark mesh,10 - Threatened and protected species - Species and communities protected under FMA; 5 - Marine habitats and assemblages - Fish assemblages,Marine assemblages: Non-target species,Non-target species (bycatch),Incidental bycatch; Incidental catch of species of conservation concern,Other/Unclear/Not specified,Not specified. Report outlines bycatch and potential for impacts to threatened species.,,,,,,"This report details results/data from a shark mesh trial in the North Coast NSW. This report does not detail condition/trends, but does identify potential threats of shark nets to other (non-target) species, including endangered species. "
